date;time;temperature_F;wind_speed_mph;relative_humidity_percent;solar_radiation_W_sqm;precipitation_inches
6/19/21;12:00 AM;58.5;0.1;93.1;0.0;*
6/19/21;12:15 AM;58.9;0.1;94.5;0.0;*
6/19/21;12:30 AM;58.5;0.1;95.3;0.0;*
6/19/21;12:45 AM;57.9;0.1;96.4;0.0;*
6/19/21;1:00 AM;57.5;0.1;97.9;0.0;*
6/19/21;1:15 AM;57.1;0.1;99.3;0.0;*
6/19/21;1:30 AM;56.8;0.1;99.9;0.0;*
6/19/21;1:45 AM;56.7;0.1;100.0;0.0;*
6/19/21;2:00 AM;56.3;0.1;100.0;0.0;*
6/19/21;2:15 AM;55.8;0.1;100.0;0.0;*
6/19/21;2:30 AM;55.6;0.1;100.0;0.0;*
6/19/21;2:45 AM;55.4;0.1;100.0;0.0;*
6/19/21;3:00 AM;55.1;0.1;100.0;0.0;*
6/19/21;3:15 AM;54.7;0.1;100.0;0.0;*
6/19/21;3:30 AM;54.5;0.1;100.0;0.0;*
6/19/21;3:45 AM;54.3;0.1;100.0;0.0;*
6/19/21;4:00 AM;54.4;0.1;100.0;0.0;*
6/19/21;4:15 AM;54.3;0.1;100.0;0.0;*
6/19/21;4:30 AM;54.4;0.1;100.0;0.1;*
6/19/21;4:45 AM;54.4;0.1;100.0;0.1;*
6/19/21;5:00 AM;54.5;0.1;100.0;0.0;*
6/19/21;5:15 AM;54.6;0.1;100.0;0.1;*
6/19/21;5:30 AM;54.4;0.1;100.0;0.1;*
6/19/21;5:45 AM;54.5;0.1;100.0;0.7;*
6/19/21;6:00 AM;54.3;0.1;100.0;3.2;*
6/19/21;6:15 AM;54.3;0.1;100.0;7.4;*
6/19/21;6:30 AM;54.3;0.1;100.0;20.4;*
6/19/21;6:45 AM;54.3;0.1;100.0;35.4;*
6/19/21;7:00 AM;54.6;0.1;100.0;58.7;*
6/19/21;7:15 AM;54.8;0.1;100.0;74.8;*
6/19/21;7:30 AM;55.1;0.1;100.0;98.7;*
6/19/21;7:45 AM;55.5;0.1;100.0;174.8;*
6/19/21;8:00 AM;56.2;0.1;100.0;308.5;*
